Kq,MaximumRealPole,ShortPeriodDampingRatio,ShortPeriodNaturalFrequency_rad_s,Stable
-0.515384615384615,-0.0025294593006774,NaN,NaN,1
-0.511538461538462,-0.00252809532889778,NaN,NaN,1
-0.507692307692308,-0.00252673826740466,NaN,NaN,1
-0.503846153846154,-0.00252538824831292,NaN,NaN,1
-0.5,-0.0025240454056838,NaN,NaN,1
-0.496153846153846,-0.00252270987555478,NaN,NaN,1
-0.492307692307692,-0.00252138179597074,NaN,NaN,1
-0.488461538461539,-0.00252006130701496,NaN,NaN,1
-0.484615384615385,-0.00251874855084172,NaN,NaN,1
-0.480769230769231,-0.00251744367170747,NaN,NaN,1
-0.476923076923077,-0.00251614681600592,NaN,NaN,1
-0.473076923076923,-0.00251485813229975,0.997975787718425,3.09829032561538,1
-0.469230769230769,-0.00251357777135573,0.992792304473979,3.09478727758901,1
-0.465384615384615,-0.00251230588617966,0.987598355801041,3.09128020683094,1
-0.461538461538462,-0.00251104263205146,0.982393890053893,3.08776909962384,1
-0.457692307692308,-0.00250978816656094,0.977178855199766,3.08425394217525,1
-0.453846153846154,-0.0025085426496454,0.971953198815,3.08073472061698,1
-0.45,-0.00250730624362597,0.966716868081162,3.07721142100459,1
-0.446153846153846,-0.00250607911324632,0.961469809781111,3.07368402931688,1
-0.442307692307692,-0.00250486142571084,0.956211970295019,3.07015253145527,1
-0.438461538461539,-0.00250365335072407,0.950943295596342,3.06661691324332,1
-0.434615384615385,-0.00250245506053077,0.945663731247736,3.06307716042613,1
-0.430769230769231,-0.00250126672995712,0.940373222396935,3.05953325866977,1
-0.426923076923077,-0.0025000885364514,0.93507171377256,3.05598519356073,1
-0.423076923076923,-0.00249892066012641,0.929759149679896,3.05243295060537,1
-0.419230769230769,-0.00249776328380308,0.924435473996598,3.04887651522928,1
-0.415384615384615,-0.00249661659305351,0.91910063016836,3.04531587277678,1
-0.411538461538462,-0.00249548077624532,0.913754561204514,3.04175100851024,1
-0.407692307692308,-0.00249435602458803,0.908397209673586,3.0381819076096,1
-0.403846153846154,-0.00249324253217783,0.903028517698796,3.03460855517167,1
